lat,lng
44.2015827,0.6176112
48.2085868,13.48839
33.9252495,133.6402429
53.550341,10.000654
41.8933203,12.4829321
51.8896903,0.8994651
50.2267699,8.6169093
40.7127281,-74.0060152
49.8955367,-97.1384584
46.5218269,6.6327025
46.2017559,6.1466014
40.7127281,-74.0060152
45.6754622,6.3925417
43.5460516,-80.2493276
52.5170365,13.3888599
41.2587459,-95.9383758
41.7313063,-111.834914
55.920461,-4.3332046
51.5073359,-0.12765
57.1482429,-2.0928095
36.0421523,139.399796
-33.8698439,151.2082848
26.933333,90.1
34.7109786,137.7259431
33.4896014,132.3560996
50.8361447,4.3861737
54.9738474,-1.6131572
33.5945144,-7.6200284
43.0349931,-87.922497
40.1157948,-88.241194
46.8701049,-113.995267
38.8950368,-77.0365427
43.5854823,39.723109
57.905149,59.9508466
31.2323437,121.4691024
45.8286903,-64.2040548
41.0339862,-73.7629097
35.6812665,139.757653
35.1851045,136.8998438
35.1851045,136.8998438
43.2130358,2.3491069
49.7477415,13.3775249
37.270973,-79.9414313
30.2346844,-81.6981513
40.7127281,-74.0060152
39.775168,-105.024387
49.4093582,8.694724
38.8950368,-77.0365427
40.7127281,-74.0060152
40.7127281,-74.0060152
55.7504461,37.6174943
55.7504461,37.6174943
51.5073359,-0.12765
38.8950368,-77.0365427
34.769123,137.391461
44.40726,8.9338624
37.4443293,-122.1598465
49.4093582,8.694724
44.5645659,-123.2620435
55.1930197,30.2070437
50.9810486,11.3296637
38.577359,-92.1724265
52.9529894,4.826759249
51.68733715,5.01730794
36.3302284,-119.292058
50.110924,8.682127
34.0000001,113.9999999
38.6280278,-90.1910154
36.3641642,6.6084281
41.2464824,-75.8817316
40.9808209,-73.684294
46.975371,-123.815722
38.8950368,-77.0365427
40.7127281,-74.0060152
40.9167654,-74.171811
49.6945782,-112.8331033
40.4416941,-79.9900861
40.7127281,-74.0060152
39.9527237,-75.1635262
50.3166654,21.1166662
48.8534951,2.3483915
41.8755616,-87.6244212
42.3554334,-71.060511
50.04303,-110.679016
38.8950368,-77.0365427
51.1563185,14.991018
51.3534695,13.2479165
40.7127281,-74.0060152
40.7127281,-74.0060152
50.1985698,10.0746833
54.23649,8.9877874
47.5581077,7.5878261
49.4093582,8.694724
50.110924,8.682127
47.1627634,9.4764086
52.2284266,17.277827
45.9441278,13.6252288
52.0799838,4.3113461
31.5656822,74.3141829
40.4416941,-79.9900861
42.3756401,-71.2358004
51.7958812,4.6779351
40.9125085,-73.8386504
55.7029296,13.1929449
